"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 12 21:22:30 GMT+07:00 2026","Sun Apr 12 21:22:30 GMT+07:00 2026","2","Suite1","Co Mem on Chrome","comem.authentication.LoginTests","comem.authentication.LoginTests","verifyNegativeCaseLogIn","verifyNegativeCaseLogIn","User attempts to log in with invalid credentials and verifies the error message"
"passed","Sun Apr 12 21:22:30 GMT+07:00 2026","Sun Apr 12 21:22:40 GMT+07:00 2026","9422","Suite1","Co Mem on Chrome","comem.authentication.LoginTests","comem.authentication.LoginTests","verifyPositiveCaseLogIn","verifyPositiveCaseLogIn","User logs in with valid credentials and verifies the account is accessible"
